;Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23)
9;57,85376;;;;;;;;91,9063841;104,05677;;91,0822022;79,54642;86,1643978;81,7617245;133,201313;97,69722;110,5594;90,68349;102,3133;;90,7438;;;;;;;;;214,5078;;;;145,922617;;113,69059;122,7183;89,12624;138,1064;141,6678;103,5308;90,73046;124,0633;72,99145;108,8902;148,308;101,3088;116,5784;114,3524;105,2147;118,6266;127,6334;92,81238;106,3826;98,01007;149,0643;;;
10;87,68883;;;;;;;;87,2048612;120,454779;;117,88911;107,718;87,4381551;88,3389832;139,748886;84,30359;95,24619;87,79755;96,12224;;105,2735;;;;;;;;;201,8372;;;;179,722749;;126,328852;102,9954;100,0644;164,4028;119,5902;99,91812;90,57876;119,5177;84,66389;128,4972;160,1727;93,19345;130,5747;151,5546;92,50002;121,9319;80,76054;93,40609;109,0235;97,9104;120,513;;;
11;78,45245;;;;;;;;82,3025624;60,2219241;;120,911776;90,188;77,7738389;101,716051;134,271768;97,5001;101,6295;98,53887;96,54008;;114,7872;;;;;;;;;201,3191;;;;158,917856;;117,291744;114,4451;92,41821;158,6013;115,0711;91,13331;81,62171;110,1;90,03243;108,0461;154,1043;99,87633;90,34867;145,1814;95,17526;121,7605;94,15735;106,6581;108,2363;96,704;125,9831;;;
12;37,78942;;;;;;;;65,3992158;61,7276729;;114,444663;111,1807;90,1611976;121,95407;141,674064;80,45464;89,06415;90,52325;99,62103;;88,36843;;;;;;;;;207,3643;;;;212,388277;;104,945032;103,2159;118,8753;141,1612;122,8231;92,03587;96,88976;120,0501;104,2543;114,0081;181,7991;97,54315;105,3843;153,8506;109,9908;101,6848;93,9278;102,7837;112,7066;104,4946;131,2127;;;
13;26,18972;;;;;;;;57,5377071;58,8325583;;105,806362;101,758;88,9448571;110,196091;128,233162;113,1499;99,24466;83,77322;109,4291;;113,7279;;;;;;;;;158,5257;;;;196,244157;;117,977592;135,5517;89,86401;144,6797;129,3991;94,90994;90,97097;130,0919;100,5993;115,1486;175,4091;96,98209;109,0176;131,631;92,48706;114,1741;100,2318;101,403;131,5708;104,2605;153,8771;;;
14;40,65334;;;;;;;;67,2060051;55,57173;;104,751239;109,0454;88,4112823;95,9453395;114,334387;103,5995;85,80277;121,67;103,6648;;94,19603;;;;;;;;;122,8803;;;;184,196652;;126,908826;144,2475;116,257;142,2516;128,1924;100,5719;76,84223;127,2979;93,60171;134,7424;163,0099;102,1629;99,70298;145,3235;103,6964;116,6191;100,0843;106,471;116,6815;105,511;152,7854;;;
15;15,22925;;;;;;;;69,2358056;46,7744541;;93,5437007;128,3593;90,2238557;85,8147434;98,8644025;105,4089;94,81188;114,5589;113,8246;;110,3451;;;;;;;;;134,481;;;;221,284141;;115,183929;102,2167;110,3315;122,8877;118,0206;98,64569;83,45179;127,6894;81,16204;117,9551;138,0423;88,4768;105,6602;152,6506;102,1129;117,1418;96,90021;98,4758;117,768;103,3375;132,3764;;;
16;31,20545;;;;;;;;71,9065823;73,9492037;;112,194637;117,0552;118,34721;83,0150189;112,759192;113,4076;114,1476;57,66587;100,4764;;108,3893;;;;;;;;;100,6155;;;;194,775548;;115,434012;127,8773;92,80577;121,7045;137,7932;98,08449;91,75148;127,1525;73,84397;103,9903;124,6662;95,33518;112,4523;161,7916;94,15938;131,255;86,0412;99,90002;108,2032;108,0941;132,6394;;;
17;69,72099;;;;;;;;85,0031296;59,0508465;;100,781379;130,6204;91,0292073;73,3367912;103,887278;116,8925;107,5587;55,24574;97,57091;;104,6773;;;;;;;;;146,4799;;;;200,410404;;110,927204;128,1649;82,00937;93,34021;140,4551;101,4711;73,56308;129,6915;90,73183;111,7228;123,2417;89,73066;103,1859;136,3191;100,6466;111,9182;87,10376;102,0045;138,6421;95,23157;163,4239;;;
18;25,72898;;;;;;;;103,660101;47,123238;;114,250571;127,8843;81,7679874;69,4628166;99,6821106;118,819;100,6537;75,72335;101,0217;;98,1648;;;;;;;;;95,46714;;;;178,55038;;135,093672;103,9461;113,0937;110,9192;135,7727;95,746;80,70395;122,8307;78,51433;114,1542;112,1883;84,82135;124,0679;164,9574;102,1335;120,9554;77,69295;97,1979;122,8785;102,8237;110,2403;;;
