;Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31)
7;94,16726;117,9163;115,432;;68,45823;86,4002;93,71188;110,4914;120,7675;122,09;97,27874;105,5556;95,28302;97,64089;;;;;;;;;;;;;;;;;;174,4327;112,2707;101,7741;72,57871;59,61395;105,8028;159,918;202,8688;112,6449;110,141;106,237;100,7757;86,14753;85,56516;82,10311;89,38056;78,88956;102,5014;103,6111;104,8821;99,3817;85,36585;108,6187;119,012;133,0645;113,3603;106,2176;133,0645;113,3603;106,2176;113,8716
8;90,95647;120,167;112,0038;;61,54844;103,2795;87,21494;109,2222;121,8975;119,3077;88,18718;125,9259;110,3774;110,7471;;;;;;;;;;;;;;;;;;148,9505;113,1879;113,2025;74,43048;65,55962;121,7014;136,3012;211,1127;115,3781;115,5002;124,2144;109,1338;74,42175;78,09859;78,90417;114,259;86,87249;105,8897;111,9169;99,30411;98,09627;89,80044;100,9445;108,5329;115,5914;110,3239;132,1244;115,5914;110,3239;132,1244;109,7308
9;93,44843;114,8092;96,90724;;69,7063;108,0779;94,08297;97,16516;124,2569;117,6885;96,28766;125,9259;95,28302;101,5727;;;;;;;;;;;;;;;;;;111,8358;89,90232;103,9464;94,17136;70,87561;118,661;169,2672;161,9002;106,3754;121,1545;125,1666;102,061;91,0344;88,96246;91,40773;114,2147;85,13137;101,9943;92,76719;98,6363;86,697;92,01774;102,7155;103,5429;116,9355;148,7854;170,9845;116,9355;148,7854;170,9845;128,3644
10;101,9158;122,2409;96,0191;;68,5215;115,8081;101,8755;98,53615;124,1591;110,4074;89,24003;96,2963;100,9434;98,2962;;;;;;;;;;;;;;;;;;100,0639;93,125;111,2783;80,5841;66,0823;112,3204;131,9131;124,9162;116,7152;105,513;127,6207;98,55948;88,57483;78,84032;88,23064;90,6816;99,90796;105,2585;94,67005;104,3059;87,72693;76,49667;109,209;101,7964;115,5914;120,4453;173,5751;115,5914;120,4453;173,5751;93,1677
11;101,1588;121,4456;119,3538;;63,01956;108,247;100,2964;104,7859;161,3574;136,1077;94,69383;140,7407;103,7736;112,713;;;;;;;;;;;;;;;;;;144,9995;89,33432;107,3509;69,1108;85,23027;120,7105;135,131;123,4109;124,3923;122,3416;119,5313;113,2291;88,45429;84,24542;94,06636;106,6969;93,23433;102,5843;109,0499;110,6819;90,85467;98,66962;138,7249;114,2715;125;127,5304;227,9793;125;127,5304;227,9793;114,9068
12;102,8022;132,3143;99,78737;;71,79995;109,3508;110,7323;102,3093;136,4408;140,2159;91,08237;137,037;101,8868;95,01966;;;;;;;;;;;;;;;;;;127,6953;79,29163;106,5844;78,11556;92,74676;130,3366;178,5386;136,6421;112,5802;116,6093;114,9899;122,1913;94,76749;86,52336;110,5538;99,89908;106,3884;107,7045;128,1504;103,7117;84,52025;149,6674;117,4734;94,81038;151,8817;139,6761;191,7098;151,8817;139,6761;191,7098;115,942
13;105,3226;129,2024;115,2015;;73,46078;104,0419;103,7165;114,1313;92,11581;172,4612;90,96363;131,4815;90,56604;93,70904;;;;;;;;;;;;;;;;;;125,5073;90,44828;103,0775;74,53721;116,9788;132,9482;153,8275;132,9089;105,4199;105,8491;125,803;115,5763;82,75294;79,08696;138,7118;92,83395;113,229;96,33149;127,1889;115,6799;100,9685;152,9933;119,8347;106,7864;143,8172;135,6275;215,0259;143,8172;135,6275;215,0259;109,7308
14;84,20037;133,5131;116,0715;;68,23508;96,20948;112,0277;96,95856;85,96432;136,3083;100,0386;142,5926;107,5472;106,1599;;;;;;;;;;;;;;;;;;168,2075;110,4093;89,64469;102,0102;118,7125;133,7711;178,4199;132,4115;111,362;102,5339;134,7102;123,63;83,09971;77,6918;131,9793;76,30262;119,5716;91,99043;125,1924;105,9978;91,11697;162,9712;113,3412;97,55489;104,8387;144,7368;209,8446;104,8387;144,7368;209,8446;114,9068
15;91,2136;119,1437;104,0455;;71,60206;96,66991;95,84852;85,05667;94,56844;126,0005;92,59492;153,7037;100;108,7811;;;;;;;;;;;;;;;;;;181,8684;99,60054;106,1372;97,24135;104,431;134,2914;211,7838;129,1783;110,6756;124,6151;121,7583;107,9091;74,8642;78,41725;115,2987;81,95058;122,208;87,68004;123,6882;113,1988;90,39957;208,4257;119,8347;114,022;102,1505;152,834;178,7565;102,1505;152,834;178,7565;91,09731
16;104,2323;133,1073;89,14573;;68,81097;91,18806;103,8343;90,32135;96,56685;116,2185;94,29718;159,2593;107,5472;94,36435;;;;;;;;;;;;;;;;;;200,3735;117,8735;99,71867;75,89092;120,244;142,5144;172,988;129,7647;115,2396;101,403;131,6705;101,3048;79,0794;77,92832;116,6146;78,53858;121,2131;77,51689;136,6299;116,2537;92,33158;175,1663;104,4864;98,55289;98,11828;165,9919;152,8497;98,11828;165,9919;152,8497;103,5197
