;Control (n=10);Control (n=10);Control (n=10);Control (n=10);Control (n=10);Control (n=10);Control (n=10);Control (n=10);Control (n=10);Control (n=10);Control (n=10);Control (n=10);AM4113 (n=10);AM4113 (n=10);AM4113 (n=10);AM4113 (n=10);AM4113 (n=10);AM4113 (n=10);AM4113 (n=10);AM4113 (n=10);AM4113 (n=10);AM4113 (n=10);AM4113 (n=10);AM4113 (n=10)
24;151,1031;123,7548;;114,4867;132,7746;80,188;134,3742;97,9554;135,7527;187,247;118,0124;;95,97928;154,4776;;94,09068;132,0244;97,82687;145,9627;104,9425;93,10345;95,41284;141,1082;
25;174,6488;120,4934;;127,7633;123,1099;82,15792;133,4728;91,89971;138,4409;184,2105;96,27329;;101,1589;151,1205;;79,60427;126,7727;79,53858;143,5216;103,4235;96,55172;96,33028;137,2423;
26;158,5346;132,1194;;102,4503;120,4419;72,96578;130,8661;92,36161;116,9355;197,3684;107,6605;;85,07831;156,7748;;84,35593;122,0765;93,58861;136,0164;99,6094;115,5172;93,57798;129,5103;
27;155,2694;119,7631;;123,6519;126,5781;74,82296;132,8556;94,36632;123,6559;178,1377;129,3996;;100,2821;179,3203;;79,35845;135,2705;88,53475;150,477;110,7884;108,6207;104,5872;118,5567;
28;168,9193;124,3817;;123,8034;129,4745;66,30815;130,4803;95,6678;125;186,2348;116,9772;;109,892;188,2679;;82,01445;143,8671;78,40066;172,4638;94,4826;117,2414;100,9174;115,3351;
29;162,7292;121,2478;;118,4318;128,5274;81,6761;132,2558;87,89461;141,129;199,3927;109,7308;;100,4247;174,9033;;75,56057;137,0148;74,28215;157,807;99,5375;117,2414;118,3486;99,87113;
30;161,371;135,9675;;101,3747;139,4991;83,88251;128,5074;89,93011;153,2258;199,3927;118,0124;;101,1118;189,088;;89,50139;123,4886;91,22995;137,387;105,0132;87,93103;101,8349;124,3557;
31;186,2131;124,3575;;129,321;135,5966;91,50039;129,8024;89,05522;130,3763;200,4049;136,646;;86,21344;201,5358;;76,33911;130,2965;77,93299;159,9828;105,3349;131,0345;106,422;121,134;
32;175,7278;134,5347;;108,8928;122,625;99,68202;145,0035;94,82633;142,4731;209,5142;101,4493;;98,62669;235,3041;;77,8555;131,9175;81,7385;166,8345;103,6751;122,4138;107,3394;119,8454;
33;174,6576;112,4501;;118,5815;142,2788;113,9504;126,8983;94,58557;150,5376;202,4291;126,294;;100,048;201,5609;;73,26015;132,2871;74,81762;158,4939;103,6173;87,93103;91,74312;112,7577;
34;155,9501;129,9483;;105,8715;141,2996;100,1807;137,0334;94,86675;142,4731;209,5142;127,3292;;103,7053;224,5068;;83,77004;129,9159;90,11071;152,9902;104,4136;94,82759;145,8716;128,2216;
35;164,9013;129,8259;;126,1441;148,6472;96,0327;139,2911;99,69442;135,7527;185,2227;116,9772;;99,68273;218,2903;;75,65935;142,2896;94,98431;158,8139;120,1291;58,62069;93,57798;126,2887;
36;143,6131;123,6415;;110,7515;141,7308;106,9688;135,1001;94,44979;153,2258;213,5628;123,1884;;112,528;245,8821;;76,49107;138,2432;88,06221;155,5231;105,4809;70,68966;112,844;125,6443;
37;135,0797;118,6421;;109,211;146,9407;105,5259;133,2068;102,6541;159,9462;213,5628;121,118;;110,1855;228,7291;;78,49116;125,5918;67,09049;153,8219;107,7155;87,93103;91,74312;119,8454;
38;154,8272;133,9678;;116,4496;137,0003;87,63276;136,8863;95,27162;143,8172;201,417;127,3292;;92,48429;217,9312;;85,37556;149,613;77,82338;137,6115;108,0301;100;107,3394;118,5567;
39;153,9211;130,9366;;110,1313;145,4317;106,9743;135,0557;97,05709;141,129;203,4413;137,6812;;103,3039;239,2446;;79,35978;129,7721;69,61356;153,9659;99,48529;103,4483;102,7523;137,8866;
40;150,7143;123,5213;;124,6641;129,9993;104,9626;132,8923;90,87469;151,8817;198,3806;122,1532;;122,2559;244,1162;;76,27647;135,3729;69,06713;152,7612;94,35099;108,6207;100,9174;133,3763;
